Segment,Sex,#,city,run_frequency,where_run_1,where_run_2,where_run_3,where_run_4,running_experience,why_run_1,why_run_2,why_run_3,why_run_4,why_run_5,why_run_6,why_run_7,why_run_8,why_run_9,why_run_10,why_run_11,why_run_12,why_run_13,why_run_14,why_run_15,interest_buy_shoes_1,interest_buy_shoes_2,interest_buy_shoes_3,interest_buy_shoes_4,interest_buy_shoes_5,interest_buy_shoes_6,type_shoes,three_words_1,three_words_2,three_words_3,expected_spending,difference_easy_to_tell,difference_running_shoes_trainers_1,difference_running_shoes_trainers_2,difference_running_shoes_trainers_3,difference_running_shoes_trainers_4,difference_running_shoes_trainers_5,difference_running_shoes_trainers_6,difference_running_shoes_trainers_7,difference_running_shoes_trainers_8,confidence_right_shoes,more_confident_if_1,more_confident_if_2,more_confident_if_3,more_confident_if_4,more_confident_if_5,more_confident_if_6,more_confident_if_7,more_confident_if_8,more_confident_if_9,more_confident_if_10,know_which_features, most_important_choosing_1, most_important_choosing_2, most_important_choosing_3, most_important_choosing_4, most_important_choosing_5, most_important_choosing_6, most_important_choosing_7, most_important_choosing_8, most_important_choosing_9, most_important_choosing_10, most_important_choosing_11,too_expensive,is_a_hassle,need_expert_advice,benefits_over_trainers,thanks,Score,Start Date (UTC),Submit Date (UTC),Network ID
Young Family,Female,idfirt9duhthiiqi1midfih56pyujx9s,La Cornuaille,1 to 2 times per week,,Road,,,Intermediate,,,,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,,,,,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Comfortable,,,<50 €,Totally Agree,,,,,,,"Benefits (eg. Speed, movement and comfort)",,Disagree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Disagree,,Protection against injuries,,Shock absorption,,,,,Fit and comfort,,,Totally Agree,Totally Agree,Agree,Agree,1,0,16/02/2020 05:30,16/02/2020 05:37,a43d3ba985
Young Family,Female,m8tffdozgbo1qtrr9iom8tf8ahwq9lbv,Dallet,3 to 4 times a week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,,,,Running Shoes,Comfortable,Durable,Cushioned,Between 100 and 150 €,Totally Agree,,,,Technology,Footwear / Comfort,,,,Disagree,,,I knew other people like me had bought them,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,Shock absorption,,,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,Agree,Agree,Totally Agree,1,0,16/02/2020 05:13,16/02/2020 05:18,15ed7516bf
Young Family,Female,w5lhbg6dkzbibg8b7vw5lhgm8a3jh2eu,Dreux,Sometimes,Sports Hall,,,,Beginner,,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Sport shoes,Salmone,,,Between 50 and 100 €,Agree,Design / Style,,,,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Neither agree nor disagree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,,,Agree,,,,,Lightness,,,,Fit and comfort,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,Agree,Neither agree nor disagree,Agree,1,0,16/02/2020 03:37,16/02/2020 03:42,6d0e6e741f
Young Family,Female,ylbqlxfvyuwhyid6nc0ylbqlxeh8rscj,Thorée pines,3 to 4 times a week,,Road,Trail,,Advanced,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,I want to race.,,,Running Shoes,Comfortable,,,Between 50 and 100 €,Disagree,,,,,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Disagree,,,I knew other people like me had bought them,,,I had seen advertising / promotions / consumer reviews,I knew they were the most comfortable / provided the best footwear,,,,Totally Agree,,,Durability,,Lightness,,Bounce and cushioning,,,,,Disagree,Totally Agree,Totally Agree,Totally Agree,1,0,16/02/2020 03:30,16/02/2020 03:36,8a33959243
Young Family,Female,03e48xlwadrjl3vw9ura03e4qzu13dqa,Quebec,3 to 4 times a week,Sports Hall,Road,,,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,I like to measure myself against others.,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,This helps me to spend time with my kids or show them an example.,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Comfortable,Support,Flexible,Between 100 and 150 €,Totally Agree,,,Durability,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,Durability,Shock absorption,,,Bounce and cushioning,,,,,Disagree,not agree at all,Neither agree nor disagree,Totally Agree,1,0,16/02/2020 02:27,16/02/2020 02:33,cceeff24cf
Young Family,Female,dv195swotz86abd3s0dv1955bb6owv44,Saint-Maurice-de-Beynost,1 to 2 times per week,Sports Hall,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,This helps me to spend time with my kids or show them an example.,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Adapted,Comfortable,Performance,Between 100 and 150 €,Agree,,,Durability,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,I saw a respected professional adopt the,,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable / provided the best footwear,,,,Agree,,,,,Lightness,Maintenance / anti-pronation,Bounce and cushioning,,,,,Disagree,Neither agree nor disagree,Totally Agree,Totally Agree,1,0,16/02/2020 02:07,16/02/2020 02:13,83e2a2bb43
Young Family,Female,d9074ckz8fxby8pkjd9074cebifs90td,Lillers,3 to 4 times a week,,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,,,,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Thick,Sole,Laces,Between 50 and 100 €,Agree,,,Durability,Technology,Footwear / Comfort,,,,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,Agree,Color / Design,,,,Lightness,,,,Fit and comfort,,,Agree,Disagree,Disagree,Agree,1,0,15/02/2020 18:27,15/02/2020 18:38,ad75b4846c
Young Family,Female,hu7bjg8gsky6jd1cbthu7bj03e5ba9uh,Bayonne,1 to 2 times per week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Lightweight,Comfort,Gripp,Between 50 and 100 €,Totally Agree,,,,Technology,,,,,Agree,I saw a respected professional adopt the,,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable / provided the best footwear,,,,Agree,,,,,,,,Price,Fit and comfort,Adaptation to a given surface (eg. Track rather than road),,Totally Agree,Agree,Agree,Agree,1,0,15/02/2020 06:45,15/02/2020 06:51,2ee78ca699
Young Family,Female,g8xba5s6l6c9l7bao5sg8xbgm6cc1m7p,Talensac,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Flexibility,Amortized,Legere,Between 100 and 150 €,Agree,,,,,Footwear / Comfort,Price,,,Neither agree nor disagree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,,,Agree,,,,Shock absorption,,Maintenance / anti-pronation,Bounce and cushioning,,,,,Neither agree nor disagree,Neither agree nor disagree,Agree,Agree,1,0,15/02/2020 06:37,15/02/2020 06:48,0fc4c0ce11
Young Family,Female,7v0qq9qhdkn66i76z7v0qq9hfgr0iq9z,Reims,1 to 2 times per week,,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Comfortable,,Hold,Between 50 and 100 €,Agree,Design / Style,,,,,,,,Neither agree nor disagree,I saw a respected professional adopt the,I knew they were good value for money,,,,,I knew they were the most comfortable / provided the best footwear,,,,Neither agree nor disagree,,,,,,Maintenance / anti-pronation,,Price,Fit and comfort,,,Neither agree nor disagree,Neither agree nor disagree,Agree,Neither agree nor disagree,1,0,15/02/2020 06:23,15/02/2020 06:30,99b303fe9f
Young Family,Female,ec7hcqj23ve7toy1p8ec7hcq5aa6hxep,Bethune,1 to 2 times per week,,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Sport shoes,Comfortable,Adherent,Damped,<50 €,Neither agree nor disagree,,,,,,,"Benefits (eg. Speed, movement and comfort)",,Neither agree nor disagree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,,Neither agree nor disagree,,,,Shock absorption,,,Bounce and cushioning,Price,,,,Agree,Agree,Agree,Neither agree nor disagree,1,0,15/02/2020 06:16,15/02/2020 06:20,00e119d454
Young Family,Female,dlwjxr8kp1kod3gce0kdlwjxr8qk5ql0,Saint Etienne du Bois,3 to 4 times a week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,,,,I love discovering new environments.,This allows me to spend time with friends.,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Lightweight,Cushioning,Maintenance,Between 50 and 100 €,Neither agree nor disagree,,,,,,,,I am not sure),Disagree,I saw a respected professional adopt the,,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,not agree at all,,Protection against injuries,,Shock absorption,Lightness,,,,,,,Agree,Agree,Totally Agree,Disagree,1,0,15/02/2020 06:14,15/02/2020 06:20,e5b4d1f7bc
Young Family,Female,94sulykkty2iyw494spjjwvio6qkrvkp,Orleans,Sometimes,,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,"I like to collect new equipment, clothes, shoes, etc.",,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Modern,Comfort,Stability,Between 50 and 100 €,Agree,Design / Style,,Durability,,Footwear / Comfort,,,,Disagree,I saw a respected professional adopt the,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,,,Agree,Color / Design,,,,,,Bounce and cushioning,,Fit and comfort,,,Agree,Agree,Agree,Totally Agree,1,0,15/02/2020 05:51,15/02/2020 05:56,e91dbdb8e6
Young Family,Female,y1mk4lq3holwgu7i2tmoy1mpwu0sr8bv,Mirabel,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Lightweight,Comfortable,Beautiful,Between 100 and 150 €,Agree,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,I saw a respected professional adopt the,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,Disagree,,Protection against injuries,,Shock absorption,Lightness,,,,,,,Disagree,Agree,Totally Agree,Disagree,1,0,15/02/2020 04:55,15/02/2020 04:58,0ba787e14a
Young Family,Female,qx4ytvh5u0xjq5vwgkyqx4ytr8nokfwz,Toulon,1 to 2 times per week,,Road,,Track,Intermediate,,This helps me to avoid getting sick and staying healthy.,,,,,,,,,I love discovering new environments.,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Running Shoes,Lightweight,Good,Cushioning,Between 50 and 100 €,Totally Agree,,,Durability,,Footwear / Comfort,,,,Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Agree,,,Durability,,Lightness,,,,,Adaptation to a given surface (eg. Track rather than road),,Agree,Agree,Agree,Agree,1,0,15/02/2020 04:26,15/02/2020 04:31,5645701510
Young Family,Female,sutc3a5acppyt5zimqt6sutc3a5pacv1,Montreal,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,This helps me to maintain a relationship with a loved one.,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Cushioned,Comfort,Lightness,Between 150 and 200 €,Totally Agree,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,I saw a respected professional adopt the,,,,,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,Lightness,,,,Fit and comfort,,,Agree,Disagree,Agree,Agree,1,0,15/02/2020 02:49,15/02/2020 02:54,91395593c0
Young Family,Female,fynw8e6kurdte88pbj3fynw0xpab0xlv,Quebec,I do not practice running,,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,,,,I want to find more facilemebt shoes that are comfortable. I dobc this study for informational purposes,Sport shoes,Comfort,,,Between 50 and 100 €,Neither agree nor disagree,,,Durability,,,,,,Neither agree nor disagree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,,An advisor Experienced my aidédans on my shoes cabbage,Neither agree nor disagree,,Protection against injuries,,,,Maintenance / anti-pronation,Bounce and cushioning,,,,,Agree,Agree,Totally Agree,Neither agree nor disagree,0,0,15/02/2020 02:33,15/02/2020 02:38,175ee9f056
Young Family,Female,096cjl0wm7uctul3vyv3096cjn1450e4,Laval,3 to 4 times a week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,This helps me to spend time with my kids or show them an example.,,I love discovering new environments.,This allows me to spend time with friends.,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Running Shoes,Flexible,Lightweight,Minimalist,Between 100 and 150 €,Totally Agree,,,,,,,"Benefits (eg. Speed, movement and comfort)",,Neither agree nor disagree,,,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,Durability,,Lightness,,,,Fit and comfort,,,Neither agree nor disagree,Totally Agree,Totally Agree,Totally Agree,1,0,15/02/2020 02:20,15/02/2020 02:24,e4bd8a4f8f
Young Family,Female,vtofv6t0aw14i16jvtofxeelwm8g4yt7,Arpajon,Sometimes,,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,,,,Running Shoes,Comfortable,Suitable,For,Between 50 and 100 €,Disagree,,,Durability,Technology,Footwear / Comfort,,,,Disagree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Disagree,,,,Shock absorption,,Maintenance / anti-pronation,Bounce and cushioning,,,,,Agree,Agree,Agree,Disagree,1,0,14/02/2020 16:10,14/02/2020 16:13,e860fc7e71
Young Family,Female,e9n6mt1jl5o41dugssywe9n6mt4kbz77,Rouen,3 to 4 times a week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Running Shoes,Cushioning,,,Between 100 and 150 €,Totally Agree,,,,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Neither agree nor disagree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Neither agree nor disagree,,,,Shock absorption,,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Disagree,Disagree,Agree,Agree,0,0,14/02/2020 15:23,14/02/2020 15:28,ea603e2add
Young Family,Female,hzfru1n6wns8ji8gep0hzfru190o096j,Revel,1 to 2 times per week,,,Trail,Track,Intermediate,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Amortized,Affordable,Comfort,Between 50 and 100 €,Neither agree nor disagree,,,Durability,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,,,,Price,,Adaptation to a given surface (eg. Track rather than road),,Agree,Agree,Agree,Totally Agree,1,0,14/02/2020 14:44,14/02/2020 14:49,d40fc2fa4c
Young Family,Female,hwzg71frofdtochwzebn7cg422exkwjg,Montlouis-sur-Loire,1 to 2 times per week,,Road,Trail,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,,,,,I want to race.,,,Running Shoes,Comfort,Cushioning,Style,Between 50 and 100 €,Agree,,,,Technology,,,"Benefits (eg. Speed, movement and comfort)",,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,,,,,Fit and comfort,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,Totally Agree,Agree,Agree,1,0,14/02/2020 13:42,14/02/2020 13:49,6d1a89ef17
Young Family,Female,92mig68k9yyv0dyvow92mig6zsnnzuhs,Cognac,3 to 4 times a week,,Road,Trail,,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Comfort,Held,Amortized,Between 150 and 200 €,Totally Agree,,,,,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,,,,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable / provided the best footwear,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,,Shock absorption,,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,not agree at all,Agree,Totally Agree,1,0,14/02/2020 13:32,14/02/2020 13:36,eb00de4fb1
Young Family,Female,7y6x4hmza0bds7y6x4hf1cj2wxiperk3,Nandy,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,This helps me to improve my sex life.,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,This helps me to spend time with my kids or show them an example.,,,,,,I like to improve myself and learn new skills.,,,,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Comfortable,Amortization,Light,Between 50 and 100 €,Neither agree nor disagree,,,,,,,,I am not sure),Neither agree nor disagree,,I knew they were good value for money,I knew other people like me had bought them,,It was clear that they corresponded best to my needs,,,,,,Neither agree nor disagree,,,,,,,Bounce and cushioning,Price,Fit and comfort,,,Agree,Totally Agree,Totally Agree,Agree,1,0,14/02/2020 13:25,14/02/2020 13:31,5a149acd6c
Young Family,Female,3jvyrugjw5ks3jvavq8ztmcdljqpz65i,Hesdin,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,,This helps me to spend time with my kids or show them an example.,,,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Running Shoes,Comfortable,,,<50 €,Totally Agree,,,,Technology,,,,,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable / provided the best footwear,,,,Neither agree nor disagree,,,,Shock absorption,,,,Price,Fit and comfort,,,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree,1,0,14/02/2020 12:26,14/02/2020 12:30,369819c248
Full Time Student,Male,q6e9inxjodoqjyw368v0502q6e9invee,Nancy,3 to 4 times a week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,,,"I set myself a goal of health, eg. losing weight.",,Running Shoes,Resistant,Lightweight,Comfort,Between 50 and 100 €,Totally Agree,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Neither agree nor disagree,,,,,It was clear that they corresponded best to my needs,I had seen advertising / promotions / consumer reviews,,,I knew they were best suited to help me achieve my goals,,Totally Agree,,,Durability,,Lightness,,,,Fit and comfort,,,Agree,Agree,Agree,Agree,0,0,24/02/2020 15:34,24/02/2020 15:39,61c6fa8706
Full Time Student,Male,0901y2oh19voq4mag62y5xc0901y2oa9,Lyon,1 to 2 times per week,,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Running Shoes,Lightweight,Flexible,Cushioning,Between 50 and 100 €,Agree,Design / Style,,,Technology,,,,,Agree,I saw a respected professional adopt the,,,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Agree,Disagree,Neither agree nor disagree,Agree,1,0,24/02/2020 09:17,24/02/2020 09:22,734bb59f3b
Full Time Student,Male,hfj5tdla8ual01qhfj5te52f2l8mzek7,Amiens,Sometimes,,Road,,,Intermediate,,,,,,,,This helps me to improve my physical appearance.,,,,,,,,,I plan to run more often.,,,,,Running Shoes,,Feel,Comfortable,<50 €,Neither agree nor disagree,,,,,Footwear / Comfort,,,,Agree,I saw a respected professional adopt the,,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Agree,,,Durability,,,,,Price,Fit and comfort,,,Neither agree nor disagree,Agree,Agree,Disagree,1,0,24/02/2020 08:59,24/02/2020 09:02,12474ca723
Full Time Student,Male,cxrxcd3nxy9oah5bjqicxrx1rb3bva1v,TOULOUSE,1 to 2 times per week,,Road,,,Beginner,,,,,,,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,,,,,Running Shoes,Comfort,Flexibility,Efficiency,Between 50 and 100 €,Neither agree nor disagree,,,,,,,,I am not sure),Neither agree nor disagree,I saw a respected professional adopt the,,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Neither agree nor disagree,,,,,,Maintenance / anti-pronation,Bounce and cushioning,,Fit and comfort,,,Neither agree nor disagree,Totally Agree,Totally Agree,Neither agree nor disagree,0,0,24/02/2020 08:18,24/02/2020 08:22,3eea53365d
Full Time Student,Male,3jy8iguzada8li5bvheaai3jy8igak90,tourd,3 to 4 times a week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Running Shoes,Lightweight,Solid,Offroad,Between 50 and 100 €,Totally Agree,,,,Technology,Footwear / Comfort,Price,,,Disagree,I saw a respected professional adopt the,I knew they were good value for money,,,,,,,I knew they were best suited to help me achieve my goals,,Disagree,,Protection against injuries,Durability,,Lightness,,,,,,,Agree,Agree,Totally Agree,Totally Agree,1,0,23/02/2020 22:30,23/02/2020 22:34,11b669c388
Full Time Student,Male,nwpxuvjj8pt04inwgyfz3q913bpvcklq,Floor mines,1 to 2 times per week,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Running Shoes,Lightweight,Comfortable,Stable,Between 100 and 150 €,Agree,,,,,,,"Benefits (eg. Speed, movement and comfort)",,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,,Agree,,,,Shock absorption,,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Neither agree nor disagree,Disagree,Disagree,Agree,0,0,23/02/2020 22:23,23/02/2020 22:29,1e01e9fd89
Full Time Student,Male,tkehfdp0u0yqq71zwctkehfdpyjh9u1q,Paris,Sometimes,Sports Hall,,,Track,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,This allows me to spend time with friends.,,,,,I plan to run more often.,I need to replace old shoes.,,,,Running Shoes,Lightweight,Flexible,Repulsion,Between 150 and 200 €,Agree,,,,Technology,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Totally Agree,I saw a respected professional adopt the,,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable / provided the best footwear,,,,Agree,,,,Shock absorption,Lightness,,Bounce and cushioning,,,,,Disagree,Disagree,Disagree,Agree,1,0,23/02/2020 21:52,23/02/2020 21:55,0c12f2ed94
Full Time Student,Male,q6jcp1jchsrtfv46cq6jcp959nb2f7re,Rouen,1 to 2 times per week,,Road,Trail,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,"I like to collect new equipment, clothes, shoes, etc.",I love discovering new environments.,,,I like to stay abreast of news and trends.,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,,,,Running Shoes,Lightness,Maintains,Adhesion,Between 100 and 150 €,Agree,,,,,Footwear / Comfort,,"Benefits (eg. Speed, movement and comfort)",,Agree,I saw a respected professional adopt the,,,I had a positive shopping experience this brand in the past,,,I knew they were the most comfortable / provided the best footwear,,,,Agree,,Protection against injuries,,,Lightness,,,,,Adaptation to a given surface (eg. Track rather than road),,Disagree,Disagree,Neither agree nor disagree,Totally Agree,1,0,23/02/2020 20:22,23/02/2020 20:27,3a4080c385
