Segment,Sex,last_buy_shoes,run_frequency,where_run_1,where_run_2,where_run_3,where_run_4,running_experience,why_run_1,why_run_2,why_run_3,why_run_4,why_run_5,why_run_6,why_run_7,why_run_8,why_run_9,why_run_10,why_run_11,why_run_12,why_run_13,why_run_14,why_run_15,interest_buy_shoes_1,interest_buy_shoes_2,interest_buy_shoes_3,interest_buy_shoes_4,interest_buy_shoes_5,interest_buy_shoes_6,three_words_1,three_words_2,three_words_3,recent_spending,online_offline,online_search_1,online_search_2,online_search_3,online_search_4,online_search_5,online_search_6,where_usually,where_bought, most_important_choosing_1, most_important_choosing_2, most_important_choosing_3, most_important_choosing_4, most_important_choosing_5, most_important_choosing_6, most_important_choosing_7, most_important_choosing_8, most_important_choosing_9, most_important_choosing_10, most_important_choosing_11,confidence_right_shoes,more_confident_if_1,more_confident_if_2,more_confident_if_3,more_confident_if_4,more_confident_if_5,more_confident_if_6,more_confident_if_7,more_confident_if_8,more_confident_if_9,most_frustrating_online_1,most_frustrating_online_2,most_frustrating_online_3,most_frustrating_online_4,most_frustrating_online_5,most_frustrating_online_6,most_frustrating_online_7,most_frustrating_online_8,most_frustrating_online_9,most_frustrating_online_10,most_frustrating_online_11,most_frustrating_offline_1,most_frustrating_offline_2,most_frustrating_offline_3,most_frustrating_offline_4,most_frustrating_offline_5,most_frustrating_offline_6,most_frustrating_offline_7,most_frustrating_offline_8,most_frustrating_offline_9,most_frustrating_offline_10,most_frustrating_offline_11,most_frustrating_offline_12,most_frustrating_offline_13,need_expert_advice,age,occupation,parent
Mature Professional,Male,7 to 12 months,5 times a week or more,Sports Hall,Road,Trail,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,This helps me to maintain a relationship with a loved one.,,,,I love discovering new environments.,,It's a way for me to contribute to a cause / charity which is of importance to me.,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Comfortable,,,<50 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,,Price,Fit and comfort,,,Strongly Agree,I saw a respected professional adopt the,I knew they were good value for money,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,I knew they were the most comfortable,A friend or peer's agreed I had chosen the right ones,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,Finding a suitable product for my personal needs,Making the difference between products with different prices,Identify running shoes compared with running shoes,Differences in language different websites in terms of product description,Product images will not have the advantages,Too many options to choose from,,,,,,,,,,,,,Limited product selection,,,,Strongly Agree,46-55 years,Employee,No
Young Family,Male,4 to 6 months,1 to 2 times per week,Sports Hall,Road,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Quality,flexibility,adaptability,Between 50 and 100 €,Online,Searches Online,,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,Bounce and cushioning,,Fit and comfort,,,Agree,,I knew they were good value for money,,,,,,,I knew they were best suited to help me achieve my goals,,,,,,,,,,no frustration,,,,,,,,,,,,,no frustration,,Agree,31-36 years,Employee,Yes
Young Family,Female,More than 12 months,I do not practice running,,Road,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,It's a way for me to contribute to a cause / charity which is of importance to me.,,,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,,,"I set myself a goal of health, eg. losing weight.",,Cushioning,comfort,and,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,,,Bounce and cushioning,,Fit and comfort,,,Strongly Agree,,,,I had a positive shopping experience this brand in the past,It was clear that they corresponded best to my needs,,,,,,,,,,,,,,,Not bought online,,,,,,,,,,,,no frustration,,Strongly Agree,31-36 years,Employee,Yes
Mature Professional,Male,0 to 3 months,1 to 2 times per month,,Road,,,Beginner,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfort,flexibility,and,Between 50 and 100 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,,,,Price,Fit and comfort,,,Agree,,,I knew other people like me had bought them,,,,,,,,,,,,,Product images will not have the advantages,,,,,,,,,,,,,,,,no frustration,,Strongly Agree,37-45 years,Looking for a job,No
Mature Family,Male,0 to 3 months,1 to 2 times per week,,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,,,,I love discovering new environments.,,,,,,,I need to replace old shoes.,I want to race.,,,Flexibility,cushioning,grip,Between 100 and 150 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Strongly Agree,,,,,It was clear that they corresponded best to my needs,,,,I knew they were best suited to help me achieve my goals,,Differentiate between different brands of running shoes,,,,,Product images will not have the advantages,,,,,,,,,Staff poor knowledge about products,Presentation of unclear shoes,Not knowing exactly where to find the radius of running shoes,,,Limited product selection,Too many options to choose from,,,Strongly Agree,37-45 years,Employee,Yes
Mature Professional,Male,4 to 6 months,1 to 2 times per month,,,,Track,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Support,quality,design,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,Bounce and cushioning,,Fit and comfort,,,Agree,,,,I had a positive shopping experience this brand in the past,,,,,,Differentiate between the different models of running shoes,,,,,,,,,,,,,,,,,,,,Limited product selection,,,,Neither agree nor disagree,46-55 years,Employee,No
Mature Professional,Male,0 to 3 months,1 to 2 times per week,,Road,Trail,,Intermediate,,,,,,,,,,,I love discovering new environments.,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Comfortable,,,Over 200 €,At the store,,Visit store,Advice from friends or family members,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,Bounce and cushioning,,,Adaptation to a given surface (eg. Track rather than road),,Strongly Agree,,I knew they were good value for money,,,,,I knew they were the most comfortable,,,,Differentiate between different brands of running shoes,,,,,,,,,,,Differentiate between different brands of running shoes,,,,,,,,,,,,Strongly Agree,37-45 years,Looking for a job,No
Young Professional,Female,0 to 3 months,3 to 4 times a week,,Road,,,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,,,,I love discovering new environments.,,,,I like to improve myself and learn new skills.,,,I need to replace old shoes.,,,,Good,cushioning,flexible,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,,,Bounce and cushioning,,Fit and comfort,,The recommended distance in kilometres,Strongly Agree,,,,I had a positive shopping experience this brand in the past,,,,,,,,,,,,,,,,You can never be certain of the size or how the shoe fits until you have your foot in it! It is good to try them out in the store.,,,,,Staff poor knowledge about products,,,,,,,,,Agree,23-30 years,Employee,No
Young Family,Male,4 to 6 months,1 to 2 times per week,,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Comfortable,cheap,aesthetics,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,,Price,Fit and comfort,,,Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,,,Differentiate between different brands of running shoes,,Making the difference between products with different prices,,Differences in language different websites in terms of product description,Product images will not have the advantages,,,,,,,,Making the difference between products with different prices,,,,,,,,,,Agree,31-36 years,Employee,Yes
Young Professional,Male,7 to 12 months,3 to 4 times a week,,Road,,,Intermediate,,,I like to measure myself against others.,,,,,,,,,,,,,,,,I want to race.,,,Good,,,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,,Maintenance / anti-pronation,,Price,,,,Agree,I saw a respected professional adopt the,,,,,,,,,,Differentiate between different brands of running shoes,,,,,,,,,,Differentiate between the different models of running shoes,,,,,,,,,,,,,Agree,23-30 years,Woman / Husband,No
Mature Family,Female,7 to 12 months,1 to 2 times per week,,Road,,,Intermediate,,,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,,,,,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,,,Flexible,,,<50 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,Protection against injuries,,,Lightness,,,,,,,Strongly Agree,I saw a respected professional adopt the,,,,,,,,,,,,,,Differences in language different websites in terms of product description,Product images will not have the advantages,,Limited product selection,,,Differentiate between the different models of running shoes,Differentiate between different brands of running shoes,,,,,,,,,,,,Strongly Agree,37-45 years,Looking for a job,Yes
Mature Professional,Female,4 to 6 months,1 to 2 times per month,,Road,,Track,Beginner,,,,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,It's a way for me to contribute to a cause / charity which is of importance to me.,,I like to improve myself and learn new skills.,,,,,,They appealed to me.,Comfort,flexibility,light,Between 50 and 100 €,At the store,,,,,,At your store during my break as a security guard,no preference,"Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,,,Bounce and cushioning,Price,,,,Strongly Agree,,,I knew other people like me had bought them,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,,,,,,,,,,,I don't shop online,,,,,,,,,,,,no frustration,,Agree,46-55 years,Employee,No
Mature Family,Male,7 to 12 months,1 to 2 times per week,Sports Hall,Road,,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Cushioning,comfort,stability,Between 50 and 100 €,Online,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,,Shock absorption,,,Bounce and cushioning,,,,,Agree,,I knew they were good value for money,,,,I had seen advertising / promotions / consumer reviews,,,,,,,,,,,,,no frustration,,,,,,Staff poor knowledge about products,Presentation of unclear shoes,,No system / tool to choose the right pair of shoes,,,,,,Strongly Agree,46-55 years,Employee,Yes
Mature Family,Male,0 to 3 months,5 times a week or more,Sports Hall,,,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Flexibility,cushioning,resistance,Between 50 and 100 €,At the store,Searches Online,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,Shock absorption,,,,,Fit and comfort,,,Agree,,,,,It was clear that they corresponded best to my needs,,,,,,,,,,,,,Limited product selection,,,,,,,,,,No system / tool to choose the right pair of shoes,,Limited product selection,,,,Agree,37-45 years,Looking for a job,Yes
Mature Family,Female,More than 12 months,3 to 4 times a week,Sports Hall,,,,Advanced,It helps me keep my mind and body in shape.,,,,,,,This helps me to improve my physical appearance.,,,,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,,"I set myself a goal of health, eg. losing weight.",,Comfort,quality,and,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,,Lightness,,,,Fit and comfort,,,Agree,,I knew they were good value for money,I knew other people like me had bought them,,It was clear that they corresponded best to my needs,,I knew they were the most comfortable,A friend or peer's agreed I had chosen the right ones,I knew they were best suited to help me achieve my goals,,,,,,,,,,no frustration,,,,,,,,,,,,,no frustration,,Strongly Agree,37-45 years,Employee,Yes
Empty Nester,Female,0 to 3 months,3 to 4 times a week,,Road,Trail,,Advanced,It helps me keep my mind and body in shape.,,,,,This helps me feel confident (e) and stronger (e).,,,,,I love discovering new environments.,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,,,,,Comfort,cushioning,relaunch,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,,,Bounce and cushioning,Price,Fit and comfort,,,Strongly Agree,,,,,It was clear that they corresponded best to my needs,,,,,,,,,Identify running shoes compared with running shoes,,,Too many options to choose from,,,,,,,,Staff poor knowledge about products,,Not knowing exactly where to find the radius of running shoes,No system / tool to choose the right pair of shoes,,,,,,Strongly Agree,55+,Employee,Yes
Young Professional,Male,I do not have running shoes,3 to 4 times a week,,Road,,,Advanced,,,,,,This helps me feel confident (e) and stronger (e).,,,,,,,,,,,,,,"I set myself a goal of health, eg. losing weight.",,Cool,,,<50 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,,,,,,,Fit and comfort,Adaptation to a given surface (eg. Track rather than road),,Strongly Agree,,,,,,,,,I knew they were best suited to help me achieve my goals,,,,,,,Product images will not have the advantages,,,,,Differentiate between the different models of running shoes,,,,,,,,,,,,,Strongly Agree,16-22 years,Employee,No
Young Professional,Male,4 to 6 months,1 to 2 times per month,Sports Hall,,,,Advanced,,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",,This helps me to maintain a relationship with a loved one.,This helps me to improve my physical appearance.,,,,,It's a way for me to contribute to a cause / charity which is of importance to me.,,,,,I need to replace old shoes.,,,,Perfect,,,Between 50 and 100 €,At the store,Searches Online,Visit store,Advice from friends or family members,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,Durability,,,,,Price,,,,Strongly Agree,,,,,It was clear that they corresponded best to my needs,,,,,,,,,,,,,,no frustration,,,,,,,,,,,,,no frustration,,Agree,16-22 years,Looking for a job,No
Mature Family,Male,4 to 6 months,1 to 2 times per month,,Road,,Track,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,,,,I love discovering new environments.,,,,,,,I need to replace old shoes.,,,,Breathes,light,firm,Between 50 and 100 €,At the store,,Visit store,Advice from friends or family members,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,Durability,,Lightness,,,,,,,Neither agree nor disagree,,I knew they were good value for money,,,,,,,I knew they were best suited to help me achieve my goals,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,Identify running shoes compared with running shoes,,,,,,,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,Not knowing exactly where to find the radius of running shoes,,,,,,,Neither agree nor disagree,46-55 years,Employee,Yes
Mature Family,Male,0 to 3 months,1 to 2 times per week,,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,This helps me to spend time with my kids or show them an example.,,,,,,,,,I need to replace old shoes.,,,,Avoids,having,pain,Between 50 and 100 €,Online,,Visit store,,research online and in-store visit,,Updated version of the same model,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,,,Lightness,,,,Fit and comfort,,,Agree,,,,I had a positive shopping experience this brand in the past,,,,,,,,,,,,,,,no frustration,,,,,,,,Not knowing exactly where to find the radius of running shoes,,,Limited product selection,,,,Agree,46-55 years,Employee,Yes
Young Professional,Female,7 to 12 months,1 to 2 times per week,,Road,,,Intermediate,It helps me keep my mind and body in shape.,,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,,,,,,,I need to replace old shoes.,,,,Comfort,durability,inexpensive,Between 50 and 100 €,Online,,,,research online and in-store visit,,,no preference,"Multibrand store, eg. Go Sport and Decathlon",,,Durability,,,,,Price,,Adaptation to a given surface (eg. Track rather than road),,Strongly Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,I knew they were best suited to help me achieve my goals,,,,,,Differences in language different websites in terms of product description,,,,,,,,,,Staff poor knowledge about products,Presentation of unclear shoes,,,,,,,,Neither agree nor disagree,23-30 years,Employee,No
Mature Family,Male,7 to 12 months,1 to 2 times per week,Sports Hall,,,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,,This helps me to spend time with my kids or show them an example.,,,This allows me to spend time with friends.,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Comfort,nice,looking,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Store brand, eg. Nike",,,Durability,,,,,Price,Fit and comfort,,,Strongly Agree,,,,I had a positive shopping experience this brand in the past,,,,,,,,Finding a suitable product for my personal needs,,,,,,,,,,,,,,,,,,,,no frustration,,Neither agree nor disagree,37-45 years,Employee,Yes
Mature Family,Female,More than 12 months,1 to 2 times per month,Sports Hall,,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,This allows me to spend time with friends.,,,,,I plan to run more often.,,,,,Flexible,practical,aesthetics,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,Lightness,,,Price,,,,Neither agree nor disagree,,I knew they were good value for money,,,,,,,,,,,Making the difference between products with different prices,,,,Too many options to choose from,,,,,,,,,,,,,,,no frustration,,Neither agree nor disagree,46-55 years,Employee,Yes
Mature Family,Male,7 to 12 months,1 to 2 times per week,,Road,Trail,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",,,This helps me to improve my physical appearance.,,,,This allows me to spend time with friends.,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Comfort,,,Between 100 and 150 €,At the store,,,Advice from friends or family members,,,,no preference,"Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,,,Fit and comfort,,,Neither agree nor disagree,,,I knew other people like me had bought them,,,,,A friend or peer's agreed I had chosen the right ones,,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,Identify running shoes compared with running shoes,,,,,,,,,Finding a suitable product for my personal needs,,,,,No system / tool to choose the right pair of shoes,,,,,,Agree,46-55 years,Employee,Yes
Mature Family,Female,More than 12 months,1 to 2 times per week,Sports Hall,,,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,,,"I set myself a goal of health, eg. losing weight.",,Comfortable,light,and,Between 100 and 150 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,,,Fit and comfort,,,Neither agree nor disagree,,,,,,,,,I knew they were best suited to help me achieve my goals,,,,,,,,,,no frustration,,,,,,,,,,,Limited product selection,,,,Agree,37-45 years,Employee,Yes
Mature Family,Female,0 to 3 months,1 to 2 times per week,,Road,,,Beginner,,This helps me to avoid getting sick and staying healthy.,,,,,,,,,,,It's a way for me to contribute to a cause / charity which is of importance to me.,,,,,,,"I set myself a goal of health, eg. losing weight.",,Comfort,a,bit,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,Protection against injuries,,,,,,Price,Fit and comfort,,,Neither agree nor disagree,,I knew they were good value for money,,,,,,,,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,,,,,,Making the difference between products with different prices,,,,,,,,,,Agree,37-45 years,Employee,Yes
Mature Professional,Male,0 to 3 months,3 to 4 times a week,,Road,Trail,Track,Advanced,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,This helps me to improve my sex life.,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,,,"I like to collect new equipment, clothes, shoes, etc.",I love discovering new environments.,,,,I like to improve myself and learn new skills.,"I want to improve my performance (eg. Speed, distance, endurance).",I plan to run more often.,I need to replace old shoes.,I want to race.,,,Cushioning,light,comfortable,Between 100 and 150 €,At the store,Searches Online,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,Lightness,,Bounce and cushioning,,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,,,,I knew they were the most comfortable,,I knew they were best suited to help me achieve my goals,Differentiate between the different models of running shoes,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,Product images will not have the advantages,,,,,,,Finding a suitable product for my personal needs,,,,,No system / tool to choose the right pair of shoes,,,,,,Neither agree nor disagree,31-36 years,Employee,No
Mature Family,Male,7 to 12 months,1 to 2 times per week,,Road,,Track,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,,,,,,,,,I want to race.,,,Light,cushioning,look,Between 50 and 100 €,At the store,,Visit store,,,,,no preference,"Store brand, eg. Nike",,,,,Lightness,,Bounce and cushioning,Price,,,,Disagree,I saw a respected professional adopt the,,,,,,,,,,,Finding a suitable product for my personal needs,,,,,,,,,,,,,,,,,,,Too many options to choose from,,,Strongly Agree,46-55 years,Employee,Yes
Mature Family,Female,0 to 3 months,I do not practice running,Sports Hall,,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Comfortable,light,flexible,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,,,,Bounce and cushioning,Price,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,I had a positive shopping experience this brand in the past,,,,,,Differentiate between the different models of running shoes,,,,,,,Too many options to choose from,,,,Differentiate between the different models of running shoes,,,Making the difference between products with different prices,,,,,,,Too many options to choose from,,,Strongly Agree,37-45 years,Employee,Yes
Mature Student,Male,More than 12 months,I do not practice running,,,Trail,,Beginner,,,,,,,This helps me to maintain a relationship with a loved one.,,,,,,,,,,,I need to replace old shoes.,,,,Comfort,style,price,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,Durability,,,,,Price,,Adaptation to a given surface (eg. Track rather than road),,Disagree,,I knew they were good value for money,,,,,I knew they were the most comfortable,,,,,Finding a suitable product for my personal needs,,,,,,,,,,,Finding a suitable product for my personal needs,,,,,,,,,,Not having my size,Strongly Agree,37-45 years,Student,No
Mature Family,Female,4 to 6 months,I do not practice running,,Road,,,Beginner,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,"This helps me to focus on my diet, my nutrition and my hydration.",This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,This helps me to spend time with my kids or show them an example.,,,,,,,,I plan to run more often.,,I want to race.,"I set myself a goal of health, eg. losing weight.",,Comfortable,light,aesthetics,Between 50 and 100 €,At the store,,Visit store,,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,,,Fit and comfort,,,Agree,,,,,It was clear that they corresponded best to my needs,,,,,,,,,,,,,,,Not being able to try them on,,,Finding a suitable product for my personal needs,,,,,,,Limited product selection,,,"I am a woman and wear size 42, so the choice is limited",Strongly Agree,46-55 years,Employee,Yes
Full Time Student,Male,0 to 3 months,1 to 2 times per month,,Road,,,Beginner,,,I like to measure myself against others.,,,This helps me feel confident (e) and stronger (e).,,This helps me to improve my physical appearance.,,,,This allows me to spend time with friends.,,,,,,I need to replace old shoes.,,,,Good,comfort,and,Between 50 and 100 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",Color / Design,,,,,,,Price,Fit and comfort,,,Agree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,,,,Finding a suitable product for my personal needs,,,,,,,,,,,Finding a suitable product for my personal needs,,,,,,,,,,,Neither agree nor disagree,16-22 years,Student,No
Mature Family,Male,0 to 3 months,1 to 2 times per week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,This helps me to avoid getting sick and staying healthy.,,,,,,This helps me to improve my physical appearance.,,,I love discovering new environments.,,,,,"I want to improve my performance (eg. Speed, distance, endurance).",,I need to replace old shoes.,,,,Light,waterproof,good,Between 50 and 100 €,At the store,,,Advice from friends or family members,,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,Bounce and cushioning,Price,,,,Neither agree nor disagree,,,I knew other people like me had bought them,,,,,,,,,,Making the difference between products with different prices,Identify running shoes compared with running shoes,Differences in language different websites in terms of product description,,,,,,,,,Making the difference between products with different prices,,,,,,,,,,Agree,37-45 years,Employee,Yes
Mature Family,Male,0 to 3 months,1 to 2 times per week,,,Trail,,Intermediate,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Comfort,dynamism,adapted,Between 50 and 100 €,At the store,,,,,no research,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,,,,Price,Fit and comfort,,,Strongly Agree,,I knew they were good value for money,,,It was clear that they corresponded best to my needs,,,,,,,Finding a suitable product for my personal needs,,,,,,,,,,,,,Staff poor knowledge about products,,,,,,,,,Agree,37-45 years,Employee,Yes
Young Family,Female,0 to 3 months,I do not practice running,Sports Hall,,,,Beginner,It helps me keep my mind and body in shape.,,,,,,,,,,,,,,,,,I need to replace old shoes.,,,,Comfortable,light,,<50 €,At the store,,,,research online and in-store visit,,,"Multibrand store, eg. Go Sport and Decathlon","Multibrand store, eg. Go Sport and Decathlon",,,,Shock absorption,Lightness,,,,Fit and comfort,,,Agree,,I knew they were good value for money,,,,,,,,,,Finding a suitable product for my personal needs,Making the difference between products with different prices,,,,,,,,Differentiate between the different models of running shoes,,,,,,,,,,,,,Agree,31-36 years,Employee,Yes
